ID,Start time,Completion time,Email,Name,Statement 1,Statement 2,Question,Question2,How likely are you to recommend us to a friend or colleague?,Question3,Geistige Anforderung,Körperliche Anforderung,Zeitliche Anforderung,Leistung,Frustration,Anstrengung,"Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.2","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.3","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.4","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.5","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.6","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.7","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.8","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.9","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.10","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.11","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.12","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.15","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.16","Wählen Sie den Aspekt, der für Sie den jeweils wichtigeren Beitrag zur Arbeitsbelastung hinsichtlich der Aufgabe darstellt.17",Was ist Ihr Geschlecht,Wann wurden Sie geboren?,Wie viele Jahre haben Sie Klavier gespielt?,Haben Sie zuvor Beethoven: Ode an die Freude gehört?,Haben Sie zuvor ein mixed reality Gerät benutzt?,"Nennen Sie drei bis fünf Punkte, die Ihnen an dieser Anwendung am besten gefallen haben:","Nennen Sie Sie drei bis fünf Punkte, die Ihnen an dieser Anwendung am wenigsten gefallen 
haben:"," Haben Sie weitere Kommentare, Kritikpunkte, oder ähnliches?","Haben Sie weitere Ideen, wie Sie die genutze Technologie verwenden könnten?",Pre Test Piano Results Id,Post Test Piano Results Id,Treatment Participant Received,Statement 22,Statement 12,Die 30 Minuten haben geholfen Piano zu lernen.,Es hat Spaß gemacht auf diese Art zu lernen.,Es war schwer eine Taste auf dem Klavier zu drücken ohne eine andere Taste zu drücken.,Ich kann mir vorstellen langfristig Klavier auf diese Weise zu lernen.,Es war leicht die Reihenfolge der Tasten für das Lied zu lernen.,Es war schwer den Rythmus des Liedes zu lernen.,Was ist Ihre Händigkeit?
1,7/17/2021 22:40,7/17/2021 23:44,anonymous,,,,,,,,60,70,40,10,10,40,Leistung,Anstrengung,Leistung,Leistung,Anstrengung,Geistige Anforderung,Geistige Anforderung,Zeitliche Anforderung,Geistige Anforderung,Leistung,Zeitliche Anforderung,Leistung,Geistige Anforderung,Zeitliche Anforderung,Körperliche Anforderung,Männlich,2/11/1997,0,Ja,Ja,"Augmented reality, Nice visualization, Hints for the right timing","No sound if the 'wrong' key is pressed, ",,,607d1b32-8b09-490e-8894-f65b2cf9d57e,1949bafe-e62f-4b02-bd21-6741b4531d14,Holographic visual only,,,trifft eher zu,trifft zu,teils-teils,trifft eher zu,trifft zu,trifft nicht zu,Rechtshändig
2,7/18/2021 10:07,7/18/2021 10:15,anonymous,,,,,,,,40,55,20,85,60,20,Leistung,Körperliche Anforderung,Leistung,Leistung,Anstrengung,Geistige Anforderung,Geistige Anforderung,Anstrengung,Geistige Anforderung,Leistung,Zeitliche Anforderung,Leistung,Geistige Anforderung,Körperliche Anforderung,Körperliche Anforderung,Männlich,3/30/1999,0,Nein,Nein,,,,How to type faster on Computer& 10finger system,b4536fb1-d205-43b1-86ec-cca18f4e8ebd,ede96475-0974-4fd4-94ad-031e67b4215e,Holographic haptics,,,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher nicht zu,Rechtshändig
3,7/18/2021 11:50,7/18/2021 12:28,anonymous,,,,,,,,75,40,40,65,60,80,Leistung,Anstrengung,Frustration,Leistung,Anstrengung,Geistige Anforderung,Anstrengung,Anstrengung,Geistige Anforderung,Leistung,Frustration,Leistung,Frustration,Zeitliche Anforderung,Frustration,Männlich,10/23/1995,0,Ja,Ja,#NAME?,#NAME?,"Ich könnte mir vorstellen, dass ein richtiges Keyboard oder Piano in Kombination mit AR und dieser Technologie zu einem besseren Lernerfolg führen würde.
Ich musste mich zwar erst an die Visualisierung und die möglichen Interaktionen gewöhnen, aber es hat insgesamt viel Spaß gemacht.",,75001da7-d732-4f32-a67d-4d7c1dbaf1d4,b4139ac5-7cde-4a52-bdec-8058391a5687,Holographic visual only,,,trifft eher zu,teils-teils,trifft zu,trifft eher nicht zu,teils-teils,teils-teils,Rechtshändig
4,7/21/2021 14:58,7/21/2021 18:43,anonymous,,,,,,,,5 (Gering),60,40,30,50,20,Körperliche Anforderung,Körperliche Anforderung,Leistung,Anstrengung,Anstrengung,Zeitliche Anforderung,Anstrengung,Anstrengung,Körperliche Anforderung,Leistung,Frustration,Leistung,Frustration,Körperliche Anforderung,Körperliche Anforderung,Männlich,12/16/1991,0,Nein,Ja,Die Hololens ist einfach beeindruckend. Die Hologramme sind sehr scharf. Das Spiel hat Spaß gemacht.,"Mir ist bis jetzt nicht klar, wie das Lied sich wirklich anhören sollte. Habe es jetzt oft gehört, aber immer von mir selbst gespielt. Und da fehlt mir das Feedback. Ich konnte mir die Reihenfolge nicht merken, weil ich nicht abgefragt wurde. Für das Spiel musste ich die Reihenfolge nicht lernen, somit habe ich die Reihenfolge nicht gelernt. Die Hand in der Luft zu halten ist anstengend.",Nein.,"Ja.





Ich denke eher an Dinge, wo man das echt Objekt (hier ein Klavier) nicht vor sich haben kann. Zum Beispiel beim Üben für eine Operation. ",90032f9a-c3b7-4abe-bb44-eb53753f98bd,f4022fca-8af8-412c-93fe-b410e197dffb,Holographic visual only,,,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,Rechtshändig
5,7/21/2021 17:36,7/21/2021 18:43,anonymous,,,,,,,,15,90,90,100 (Schlecht),100 (Hoch),100 (Hoch),Körperliche Anforderung,Anstrengung,Frustration,Anstrengung,Frustration,Geistige Anforderung,Geistige Anforderung,Anstrengung,Körperliche Anforderung,Leistung,Frustration,Geistige Anforderung,Frustration,Körperliche Anforderung,Frustration,Männlich,3/5/1994,0,Nein,Nein,"Die visualisierug der Reihenfolge der tasten ist schön.
Man braucht kein richtiger Piano um zu üben.
Die Anwendung ist relativ einfach.","Die Fingererkennung ist schrott.
Es wird jedes mal mehr als eine Taste gedrückt was kein Spaß mehr macht.
Das neben-Geräuch, das man hört wenn eine falsche Taste gedrückt ist auf dauer nerfig, es liegt haptsächlich daran, dass ständig falsche Tasten gedrückt werden um man somit dieses Ton ständig hört.",,"Keine Virtual piano, sondern die zuspielende Sequenz (Diamanten) an einem richtigen Pino anzeigen. So werden falsch-erkannte Tasten-Drücke vermieden.",e419dc64-52ba-4f22-9f57-5620a6423a93,77b32ace-2b55-4c6a-8160-31b8f69fe7dc,Holographic visual only,,,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,Rechtshändig
6,7/22/2021 18:59,7/22/2021 20:51,anonymous,,,,,,,,90,90,65,15,95,85,Körperliche Anforderung,Körperliche Anforderung,Frustration,Anstrengung,Anstrengung,Geistige Anforderung,Anstrengung,Anstrengung,Körperliche Anforderung,Leistung,Frustration,Leistung,Frustration,Körperliche Anforderung,Körperliche Anforderung,Weiblich,7/19/1968,0,Ja,Nein,"neu, einfach, raumsparend","ergonomisch furchtbar, wenig gespührt, Sicht nicht gut","nicht bequem, viel zu anstrengend, grundsätzlich interessant",greifen von Dingen,031bf089-3c8f-4d7a-a202-a717fcaad113,b27bf677-95f4-4362-9590-7aa35e6fca68,Holographic haptics,,,trifft eher nicht zu,teils-teils,trifft zu,teils-teils,trifft nicht zu,trifft zu,Rechtshändig
7,7/24/2021 17:34,7/24/2021 22:10,anonymous,,,,,,,,85,70,60,95,30,50,Leistung,Körperliche Anforderung,Leistung,Leistung,Anstrengung,Zeitliche Anforderung,Geistige Anforderung,Zeitliche Anforderung,Geistige Anforderung,Leistung,Zeitliche Anforderung,Leistung,Geistige Anforderung,Zeitliche Anforderung,Körperliche Anforderung,Weiblich,10/7/2002,0,Ja,Nein,"1. die Vibrationen waren eine gute Idee für das lernen der Tasten
2. ich fand es praktisch, dass Klavier digital zu sehen, so könnte man es theoretisch gut transporitieren
3. es war parktisch, die Töne digital zu hören, wenn niemand anderes sie hören konnte
4. ich fand es gut, dass man gleich gehört hat, ob der Ton richtig oder falsch war ","1. für mich persönlich war die Vibration an manchen Stellen etwas zu leicht, wodurch ich nur schwer unterscheiden konnte, welcher Finger gemeint war
2. manchmal war es etwas schwierig, die richtige Taste zu drücken, wodurch ich oft zwei gleichzeitig gedrückt habe 
",-,"ich denke man könnte die Technologie sehr gut als Anfänger verwenden um die richtigen Tasten erstmal zu lernen. Ausserdem könnten mehrere Leute in einem Haushalt gleichzeitig spielen, da die Variante natürlich sehr platzsparend ist ",4a2f79ec-6176-48ef-9ed6-6aa954278cd5,a8c67f81-b855-4f80-b49f-b56921560bb9,Holographic haptics,,,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,Rechtshändig
8,7/25/2021 16:00,7/25/2021 16:19,anonymous,,,,,,,,50,55,50,50,40,55,Körperliche Anforderung,Anstrengung,Leistung,Anstrengung,Anstrengung,Zeitliche Anforderung,Anstrengung,Zeitliche Anforderung,Körperliche Anforderung,Leistung,Zeitliche Anforderung,Leistung,Geistige Anforderung,Körperliche Anforderung,Körperliche Anforderung,Männlich,12/9/1969,0,Ja,Nein,Virtualität,,,,4610f3e5-5d57-47b8-8687-781bb1e33bed,c4a1d15d-383a-494c-9b1e-eac1e8c22aed,Holographic visual only,,,trifft eher nicht zu,teils-teils,teils-teils,trifft eher nicht zu,trifft eher nicht zu,trifft eher nicht zu,Rechtshändig
9,7/25/2021 17:31,7/25/2021 18:42,anonymous,,,,,,,,100 (Hoch),5 (Gering),65,50,50,90,Leistung,Anstrengung,Leistung,Leistung,Anstrengung,Zeitliche Anforderung,Geistige Anforderung,Zeitliche Anforderung,Geistige Anforderung,Zeitliche Anforderung,Zeitliche Anforderung,Leistung,Geistige Anforderung,Zeitliche Anforderung,Körperliche Anforderung,Weiblich,9/19/1967,nie,Nein,Nein,"Innovativ
selbstständiges Lernen ist möglich
Kostengünstiges lernen ist möglich nur wenn man ohne Zeitdruck lernen könnte (kein Klavierlehrer)",S.oben,Kein Zeitdruck die Teilnehmer könnten selbst entscheiden wie lange Sie üben wollen.,"Matheaufgaben mit Bildern für Grundschulkinder
bei der richtigen Antwort erscheint ein nettes kindgerechtes Symbol.
Leseübungen für Ausländer bei der richtigen Aussprache erscheint ein Symbol
",a2fa2f8f-8522-471e-abf1-5c906f9edefa,4c089ebd-7ac9-4c3e-8249-e0ea52625b2b,Holographic visual only,,,trifft zu,trifft zu,teils-teils,teils-teils,teils-teils,teils-teils,Rechtshändig
10,7/26/2021 17:58,7/26/2021 19:21,anonymous,,,,,,,,70,95,30,95,100 (Hoch),100 (Hoch),Körperliche Anforderung,Anstrengung,Frustration,Anstrengung,Frustration,Geistige Anforderung,Anstrengung,Anstrengung,Körperliche Anforderung,Leistung,Frustration,Leistung,Frustration,Körperliche Anforderung,Frustration,Weiblich,3/6/1968,4,Ja,Nein,"ich denke, dass man sich durch die vielen Wiederholungen gut die Lieder merken kann; mehr positives fällt mir leider nicht ein",die richtigen Tasten zu treffen; die Arm-/Handhaltung ist auf Dauer anstrengend; für mich als technisch Unwissende ist das Handling eher sehr anstrengend ,nein,nein,1e517ee8-b797-4a7f-811e-2d1443ef1822,03fb05e2-3f4f-47c0-ae37-8bf520a3d6d4,Holographic visual only,,,trifft eher zu,trifft nicht zu,trifft zu,trifft eher nicht zu,trifft eher zu,teils-teils,Rechtshändig
